Attribute Key,Attribute Name,Entity Key,Entity Name,Folder Key,Folder Name,Data Asset key,Description,Index,
84441582-de24-45f4-98ba-de91aa8ac193,COMPANY_NAME,a607a45a-b914-4e63-87c9-471d8f50b1fd,OBSOLETE__BIZINT_235_ACCOUNT_DIM_20190411,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
3016fc70-dda7-4fd4-aaf2-ad3aba78d8db,LVL,adcf7765-f6f8-470d-b214-74ad77106012,TBL_DB_REFERENCES,91a1c479-fd32-4c63-9589-836185ecb052,DW_OPERATIONS,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
5949d506-79e2-48ac-8b4a-cca852410ca5,DATA_CENTER,bdd8dbed-aa46-40b0-b831-24ae231694f1,OCIC_EXADATA_CAPACITY_UTILIZATION,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
8107e1cd-8d26-45ae-840f-525cff9fb9eb,CUSTOMER_ALTERNATE_NAME,87d4ce92-f28e-4783-a886-3d36ebc4b394,PARTNER_CUSTOMERS,1cfd701b-3277-46ea-be3b-81408611875f,OCIA_DM,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
8e115e5b-2ab9-4ba0-941c-10608b23c230,LOCATION,fc633586-e28e-4369-a53f-4e1838b66550,LBAAS_LOAD_BALANCERS_STG,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
a173723f-ac4e-4a78-ac67-52f0b0e3d002,USAGE_TYPE,a607a45a-b914-4e63-87c9-471d8f50b1fd,OBSOLETE__BIZINT_235_ACCOUNT_DIM_20190411,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
6f8585d7-43b9-4c67-b6a3-5b662ee44a85,START_USG_DATE,ac892708-9d55-4663-8d08-843a7562a445,USAGE_START_END,bc54af5c-d9fd-4fad-acf5-8d150ae847d5,NLS,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
7259cdec-cf7d-4d5b-885a-1f78d7f45d3b,OBJECT_OWNER,adcf7765-f6f8-470d-b214-74ad77106012,TBL_DB_REFERENCES,91a1c479-fd32-4c63-9589-836185ecb052,DW_OPERATIONS,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
078a3515-192e-46a7-8162-6f2250b6f7a4,AD_SITE_CODE,bdd8dbed-aa46-40b0-b831-24ae231694f1,OCIC_EXADATA_CAPACITY_UTILIZATION,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
9b06bae9-b036-4f28-8626-8382f65659ef,GLOBAL_ULTIMATE_FUSION_REGISTRY_ID,87d4ce92-f28e-4783-a886-3d36ebc4b394,PARTNER_CUSTOMERS,1cfd701b-3277-46ea-be3b-81408611875f,OCIA_DM,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
3e26decf-aac1-4873-972b-88e70afba495,PRIVATEIPADDRESSES,fc633586-e28e-4369-a53f-4e1838b66550,LBAAS_LOAD_BALANCERS_STG,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
4f2f2e9a-9f2f-415b-ab74-e7c7681f3dc1,CATEGORY,a607a45a-b914-4e63-87c9-471d8f50b1fd,OBSOLETE__BIZINT_235_ACCOUNT_DIM_20190411,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
243b66d4-c8a3-4b97-869a-87e5629c9ebb,DW_DATE_CREATED,bdd8dbed-aa46-40b0-b831-24ae231694f1,OCIC_EXADATA_CAPACITY_UTILIZATION,9cfab78c-8fcb-4b94-a2ff-6960e4559fe7,DW_STG_USER,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
7237c00b-de59-49e9-a033-9fdd6f079cad,INTERIM_NAME,adcf7765-f6f8-470d-b214-74ad77106012,TBL_DB_REFERENCES,91a1c479-fd32-4c63-9589-836185ecb052,DW_OPERATIONS,366c052b-1c35-4c26-bf15-9a18fa5c81d5,null,null,
